ID,NpcPic,NpcPos,Condition,GatherList,Path,AwardList,Prestige,LOGO,Dream,Talk,DreamHint,TaskName,TaskHint,NewTaskHint
TA_0001,npc_spirit,"[210,119]",[],"[[""avatar"", ""AV280005"", ""count"", 1, ""MISSION_IFNO_0001""],[""avatar"", ""AV040004"", ""count"", 1, ""MISSION_IFNO_0001""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100],[""item"", ""IT0305"",""count"", 4]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0001_2,[],MISSION_NAME_0001,MISSION_INTRO_0001,MISSION_DIALOG_0001
TA_0002,npc_spirit,"[210,119]","[[""task"", ""TA_0001"", ""status"", 2]]","[[""item"", ""IT0316"", ""count"", 2, ""MISSION_IFNO_0002""],[""avatar"", ""AV250001"", ""count"", 2, ""MISSION_IFNO_0001""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0002,DM_0002,TA_0002_2,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0002,MISSION_INTRO_0002,MISSION_DIALOG_0002
TA_0003,npc_spirit,"[210,119]","[[""task"", ""TA_0002"", ""status"", 2]]","[[""avatar"", ""AV020015"",""count"", 1, ""MISSION_IFNO_0002""],[""item"", ""IT0300"", ""count"", 3, ""MISSION_IFNO_RES""],[""avatar"", ""AV020013"", ""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2,2]","[[""currency"", ""IT0011"",""count"", 100],[""item"", ""IT0316"",""count"", 1],[""item"", ""IT1001"",""count"", 1]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0003,TA_0003_2,"[""dream_0002"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0003,MISSION_INTRO_0003,MISSION_DIALOG_0003
TA_0004,npc_spirit,"[210,119]","[[""task"", ""TA_0003"", ""status"", 2]]","[[""avatar"", ""AV040004"",""count"", 2, ""MISSION_IFNO_0001""],[""item"", ""IT0316"", ""count"", 5, ""MISSION_IFNO_0002""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,null,TA_0004_1,[],MISSION_NAME_0004,MISSION_INTRO_0004,MISSION_DIALOG_0004
TA_0005,npc_spirit,"[210,119]","[[""task"", ""TA_0004"", ""status"", 2]]","[[""avatar"", ""AV250015"",""count"", 1, ""MISSION_IFNO_0003""],[""item"", ""IT0330"", ""count"", 1, ""MISSION_IFNO_0002""],[""avatar"", ""AV040013"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0005,TA_0005_2,"[""dream_0002"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0005,MISSION_INTRO_0005,MISSION_DIALOG_0005
TA_0006,npc_spirit,"[210,119]","[[""task"", ""TA_0005"", ""status"", 2]]","[[""item"", ""IT0305"", ""count"", 3, ""MISSION_IFNO_0001""],[""avatar"", ""AV020015"",""count"", 2, ""MISSION_IFNO_0002""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,null,TA_0006_1,[],MISSION_NAME_0006,MISSION_INTRO_0006,MISSION_DIALOG_0006
TA_0007,npc_spirit,"[210,119]","[[""task"", ""TA_0006"", ""status"", 2]]","[[""avatar"", ""AV240008"",""count"", 1, ""MISSION_IFNO_0004""],[""avatar"", ""AV250015"",""count"", 3, ""MISSION_IFNO_0003""],[""avatar"", ""AV250013"",""count"", 1, ""MISSION_IFNO_EVO""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0003,DM_0007,TA_0007_2,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0007,MISSION_INTRO_0007,MISSION_DIALOG_0007
TA_0008,npc_spirit,"[210,119]","[[""task"", ""TA_0007"", ""status"", 2]]","[[""avatar"", ""AV010010"",""count"", 1, ""MISSION_IFNO_0001""],[""item"", ""IT0301"",""count"", 5, ""MISSION_IFNO_0003""],[""avatar"", ""AV010008"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,null,TA_0008_1,[],MISSION_NAME_0008,MISSION_INTRO_0008,MISSION_DIALOG_0008
TA_0009,npc_spirit,"[210,119]","[[""task"", ""TA_0008"", ""status"", 2]]","[[""avatar"", ""AV240008"",""count"", 1, ""MISSION_IFNO_0004""],[""avatar"", ""AV100009"",""count"", 1, ""MISSION_IFNO_0002""],[""item"", ""IT0332"",""count"", 1, ""MISSION_IFNO_RES""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0009,TA_0009_2,"[""dream_0003"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0009,MISSION_INTRO_0009,MISSION_DIALOG_0009
TA_0010,npc_spirit,"[210,119]","[[""task"", ""TA_0009"", ""status"", 2]]","[[""item"", ""IT0319"",""count"", 4, ""MISSION_IFNO_0004""],[""avatar"", ""AV280003"",""count"", 1, ""MISSION_IFNO_0003""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1002"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0003,null,TA_0010_2,[],MISSION_NAME_0010,MISSION_INTRO_0010,MISSION_DIALOG_0010
TA_0011,npc_spirit,"[210,119]","[[""task"", ""TA_0010"", ""status"", 2]]","[[""item"", ""IT0330"",""count"", 2, ""MISSION_IFNO_0002""],[""avatar"", ""AV040003"",""count"", 2, ""MISSION_IFNO_0003""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0003,DM_0011,TA_0011_2,"[""dream_0003"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0011,MISSION_INTRO_0011,MISSION_DIALOG_0011
TA_0012,npc_spirit,"[210,119]","[[""task"", ""TA_0011"", ""status"", 2]]","[[""avatar"", ""AV150002"",""count"", 1, ""MISSION_IFNO_0004""],[""avatar"", ""AV030007"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0012,TA_0012_2,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0012,MISSION_INTRO_0012,MISSION_DIALOG_0012
TA_0101,npc_spirit,"[210,119]","[[""task"", ""TA_0012"", ""status"", 2]]","[[""avatar"", ""AV080001"",""count"", 1, ""MISSION_IFNO_0101""],[""avatar"", ""AV280008"",""count"", 1, ""MISSION_IFNO_0101""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0101_2,[],MISSION_NAME_0101,MISSION_INTRO_0101,MISSION_DIALOG_0101
TA_0102,npc_spirit,"[210,119]","[[""task"", ""TA_0101"", ""status"", 2]]","[[""item"", ""IT0303"",""count"", 2, ""MISSION_IFNO_0102""],[""avatar"", ""AV040006"",""count"", 1, ""MISSION_IFNO_0102""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100],[""item"", ""IT1003"",""count"", 1]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,DM_0102,TA_0102_2,"[""dream_0003"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0102,MISSION_INTRO_0102,MISSION_DIALOG_0102
TA_0103,npc_spirit,"[210,119]","[[""task"", ""TA_0102"", ""status"", 2]]","[[""avatar"", ""AV180001"",""count"", 2, ""MISSION_IFNO_0101""],[""avatar"", ""AV180006"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0103_2,[],MISSION_NAME_0103,MISSION_INTRO_0103,MISSION_DIALOG_0103
TA_0104,npc_spirit,"[210,119]","[[""task"", ""TA_0103"", ""status"", 2]]","[[""item"", ""IT0318"",""count"", 4, ""MISSION_IFNO_0103""],[""item"", ""IT0332"",""count"", 3, ""MISSION_IFNO_RES""],[""avatar"", ""AV040006"",""count"", 1, ""MISSION_IFNO_0102""]]","[1,2,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0104_2,[],MISSION_NAME_0104,MISSION_INTRO_0104,MISSION_DIALOG_0104
TA_0105,npc_spirit,"[210,119]","[[""task"", ""TA_0104"", ""status"", 2]]","[[""avatar"", ""AV050001"",""count"", 1, ""MISSION_IFNO_0103""]]",[1],"[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,DM_0105,TA_0105_2,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0105,MISSION_INTRO_0105,MISSION_DIALOG_0105
TA_0106,npc_spirit,"[210,119]","[[""task"", ""TA_0105"", ""status"", 2]]","[[""item"", ""IT0321"",""count"", 3, ""MISSION_IFNO_0102""],[""item"", ""IT0317"",""count"", 4, ""MISSION_IFNO_0101""],[""avatar"", ""AV050011"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,TA_0106_1,[],MISSION_NAME_0106,MISSION_INTRO_0106,MISSION_DIALOG_0106
TA_0107,npc_spirit,"[210,119]","[[""task"", ""TA_0106"", ""status"", 2]]","[[""avatar"", ""AV060001"",""count"", 1, ""MISSION_IFNO_0104""],[""avatar"", ""AV250002"",""count"", 2,""MISSION_IFNO_0102""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1005"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0107,TA_0107_2,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0107,MISSION_INTRO_0107,MISSION_DIALOG_0107
TA_0108,npc_spirit,"[210,119]","[[""task"", ""TA_0107"", ""status"", 2]]","[[""avatar"", ""AV020011"",""count"", 1, ""MISSION_IFNO_0103""],[""avatar"", ""AV020016"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0108_1,[],MISSION_NAME_0108,MISSION_INTRO_0108,MISSION_DIALOG_0108
TA_0109,npc_spirit,"[210,119]","[[""task"", ""TA_0108"", ""status"", 2]]","[[""item"", ""IT0322"",""count"", 2, ""MISSION_IFNO_0105""],[""item"", ""IT0333"",""count"", 2, ""MISSION_IFNO_RES""],[""avatar"", ""AV250011"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0109,TA_0109_2,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0109,MISSION_INTRO_0109,MISSION_DIALOG_0109
TA_0110,npc_spirit,"[210,119]","[[""task"", ""TA_0109"", ""status"", 2]]","[[""item"", ""IT0302"",""count"", 5, ""MISSION_IFNO_0104""],[""avatar"", ""AV100010"",""count"", 3, ""MISSION_IFNO_0101""],[""avatar"", ""AV040006"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1006"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0110,TA_0110_2,"[""dream_0002"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0110,MISSION_INTRO_0110,MISSION_DIALOG_0110
TA_0111,npc_spirit,"[210,119]","[[""task"", ""TA_0110"", ""status"", 2]]","[[""avatar"", ""AV240009"",""count"", 4, ""MISSION_IFNO_0105""],[""avatar"", ""AV240007"",""count"", 1, ""MISSION_IFNO_EVO""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0111_1,[],MISSION_NAME_0111,MISSION_INTRO_0111,MISSION_DIALOG_0111
TA_0112,npc_spirit,"[210,119]","[[""task"", ""TA_0111"", ""status"", 2]]","[[""item"", ""IT0318"",""count"", 6, ""MISSION_IFNO_0103""],[""avatar"", ""AV060001"",""count"", 4, ""MISSION_IFNO_0104""],[""avatar"", ""AV060002"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 180],[""item"", ""IT1007"",""count"", 1]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,DM_0112,TA_0112_2,"[""dream_0003"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0112,MISSION_INTRO_0112,MISSION_DIALOG_0112
TA_0113,npc_spirit,"[210,119]","[[""task"", ""TA_0112"", ""status"", 2]]","[[""item"", ""IT0328"",""count"", 2, ""MISSION_IFNO_0104""],[""avatar"", ""AV010004"",""count"", 1, ""MISSION_IFNO_0105""],[""avatar"", ""AV010006"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,TA_0113_2,[],MISSION_NAME_0113,MISSION_INTRO_0113,MISSION_DIALOG_0113
TA_0114,npc_spirit,"[210,119]","[[""task"", ""TA_0113"", ""status"", 2]]","[[""item"", ""IT0303"",""count"", 2, ""MISSION_IFNO_0102""],[""avatar"", ""AV280006"",""count"", 1, ""MISSION_IFNO_0103""],[""avatar"", ""AV250016"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0114,TA_0114_2,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0114,MISSION_INTRO_0114,MISSION_DIALOG_0114
TA_0115,npc_spirit,"[210,119]","[[""task"", ""TA_0114"", ""status"", 2]]","[[""item"", ""IT0321"",""count"", 5, ""MISSION_IFNO_0102""],[""avatar"", ""AV060009"",""count"", 1, ""MISSION_IFNO_ENC""],[""avatar"", ""AV100006"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2,2]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1008"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,TA_0115_2,[],MISSION_NAME_0115,MISSION_INTRO_0115,MISSION_DIALOG_0115
TA_0116,npc_spirit,"[210,119]","[[""task"", ""TA_0115"", ""status"", 2]]","[[""avatar"", ""AV180002"",""count"", 1, ""MISSION_IFNO_0104""],[""avatar"", ""AV050009"",""count"", 1, ""MISSION_IFNO_EVO""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0116,TA_0116_2,"[""dream_0003"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0116,MISSION_INTRO_0116,MISSION_DIALOG_0116
TA_0201,npc_spirit,"[210,119]","[[""task"", ""TA_0116"", ""status"", 2]]","[[""item"", ""IT0320"",""count"", 4, ""MISSION_IFNO_0201""],[""avatar"", ""AV040002"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1009"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0201,TA_0201,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0202,npc_spirit,"[210,119]","[[""task"", ""TA_0201"", ""status"", 2]]","[[""avatar"", ""AV130001"",""count"", 4, ""MISSION_IFNO_0202""],[""avatar"", ""AV050002"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0203,npc_spirit,"[210,119]","[[""task"", ""TA_0202"", ""status"", 2]]","[[""avatar"", ""AV250003"",""count"", 2, ""MISSION_IFNO_0201""],[""item"", ""IT0309"",""count"", 1, ""MISSION_IFNO_0202""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0204,npc_spirit,"[210,119]","[[""task"", ""TA_0203"", ""status"", 2]]","[[""avatar"", ""AV240002"",""count"", 1, ""MISSION_IFNO_0203""],[""avatar"", ""AV060012"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,DM_0204,TA_0204,"[""dream_0004"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0205,npc_spirit,"[210,119]","[[""task"", ""TA_0204"", ""status"", 2]]","[[""avatar"", ""AV280004"",""count"", 1, ""MISSION_IFNO_0201""],[""avatar"", ""AV020005"",""count"", 1, ""MISSION_IFNO_0201""],[""item"", ""IT0319"",""count"", 8, ""MISSION_IFNO_0203""]]","[1,1,1]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1010"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0206,npc_spirit,"[210,119]","[[""task"", ""TA_0205"", ""status"", 2]]","[[""item"", ""IT0322"",""count"", 1, ""MISSION_IFNO_0105""],[""avatar"", ""AV250017"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1011"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0206,TA_0206,"[""dream_0004"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0207,npc_spirit,"[210,119]","[[""task"", ""TA_0206"", ""status"", 2]]","[[""avatar"", ""AV100011"",""count"", 4, ""MISSION_IFNO_0204""],[""avatar"", ""AV130001"",""count"", 6, ""MISSION_IFNO_0202""],[""avatar"", ""AV130003"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1012"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0208,npc_spirit,"[210,119]","[[""task"", ""TA_0207"", ""status"", 2]]","[[""avatar"", ""AV010001"",""count"", 1, ""MISSION_IFNO_0203""],[""item"", ""IT0308"",""count"", 1, ""MISSION_IFNO_0204""],[""avatar"", ""AV010011"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0209,npc_spirit,"[210,119]","[[""task"", ""TA_0208"", ""status"", 2]]","[[""item"", ""IT0304"",""count"", 4, ""MISSION_IFNO_0205""],[""item"", ""IT0326"",""count"", 2, ""MISSION_IFNO_0202""],[""avatar"", ""AV140003"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 180]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,DM_0209,TA_0209,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0210,npc_spirit,"[210,119]","[[""task"", ""TA_0209"", ""status"", 2]]","[[""avatar"", ""AV040016"",""count"", 5, ""MISSION_IFNO_0203""],[""item"", ""IT0324"",""count"", 3, ""MISSION_IFNO_0205""],[""avatar"", ""AV240010"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 180]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0211,npc_spirit,"[210,119]","[[""task"", ""TA_0210"", ""status"", 2]]","[[""item"", ""IT0317"",""count"", 4, ""MISSION_IFNO_0206""],[""item"", ""IT0308"",""count"", 3, ""MISSION_IFNO_0204""],[""avatar"", ""AV040008"",""count"", 1, ""MISSION_IFNO_EVO""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0211,TA_0211,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0212,npc_spirit,"[210,119]","[[""task"", ""TA_0211"", ""status"", 2]]","[[""avatar"", ""AV030005"",""count"", 1, ""MISSION_IFNO_0202""],[""avatar"", ""AV030008"",""count"", 1, ""MISSION_IFNO_ENC""],[""avatar"", ""AV180003"",""count"", 1, ""MISSION_IFNO_0205""]]","[1,2,1]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1013"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,DM_0212,TA_0212,"[""dream_0001"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0213,npc_spirit,"[210,119]","[[""task"", ""TA_0212"", ""status"", 2]]","[[""avatar"", ""AV050007"",""count"", 3, ""MISSION_IFNO_0206""],[""avatar"", ""AV020005"",""count"", 4, ""MISSION_IFNO_0201""],[""avatar"", ""AV020014"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 180]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0214,npc_spirit,"[210,119]","[[""task"", ""TA_0213"", ""status"", 2]]","[[""avatar"", ""AV180002"",""count"", 1, ""MISSION_IFNO_0104""],[""avatar"", ""AV010009"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 240]]","[[""item"",""IT0030"",""count"",35]]",LOGO_0001,DM_0214,TA_0214,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0215,npc_spirit,"[210,119]","[[""task"", ""TA_0214"", ""status"", 2]]","[[""item"", ""IT0329"",""count"", 1, ""MISSION_IFNO_0206""],[""item"", ""IT0324"",""count"", 6, ""MISSION_IFNO_0205""],[""avatar"", ""AV010009"",""count"", 1, ""MISSION_IFNO_EVO""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0216,npc_spirit,"[210,119]","[[""task"", ""TA_0215"", ""status"", 2]]","[[""avatar"", ""AV060008"",""count"", 1, ""MISSION_IFNO_0204""],[""avatar"", ""AV050012"",""count"", 1, ""MISSION_IFNO_ENC""],[""avatar"", ""AV240011"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2,2]","[[""currency"", ""IT0011"",""count"", 180],[""item"", ""IT1015"",""count"", 1]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0217,npc_spirit,"[210,119]","[[""task"", ""TA_0216"", ""status"", 2]]","[[""avatar"", ""AV170003"",""count"", 1, ""MISSION_IFNO_0105""],[""avatar"", ""AV100012"",""count"", 1, ""MISSION_IFNO_0205""],[""avatar"", ""AV170002"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 180]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,DM_0217,TA_0217,"[""dream_0002"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0218,npc_spirit,"[210,119]","[[""task"", ""TA_0217"", ""status"", 2]]","[[""item"", ""IT0326"",""count"", 3, ""MISSION_IFNO_0202""],[""avatar"", ""AV250014"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 180]]","[[""item"",""IT0030"",""count"",25]]",LOGO_0001,null,"""""",[],MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0219,npc_spirit,"[210,119]","[[""task"", ""TA_0218"", ""status"", 2]]","[[""item"", ""IT0320"",""count"", 6, ""MISSION_IFNO_0201""],[""avatar"", ""AV040014"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,2]","[[""currency"", ""IT0011"",""count"", 240]]","[[""item"",""IT0030"",""count"",35]]",LOGO_0001,DM_0219,TA_0219,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
TA_0220,npc_spirit,"[210,119]","[[""task"", ""TA_0219"", ""status"", 2]]","[[""avatar"", ""AV280010"",""count"", 1, ""MISSION_IFNO_0206""],[""avatar"", ""AV260004"",""count"", 1, ""MISSION_IFNO_0201""],[""avatar"", ""AV100008"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 240]]","[[""item"",""IT0030"",""count"",35]]",LOGO_0001,DM_0220,TA_0220,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_HINT_TA_0001_1,MISSION_HINT_TA_0001_1,MISSION_NEW
